tissue_type,cell_type_ontology_id,cell_type,Total
adipose tissue,CL:0000057,fibroblast,8459
adipose tissue,CL:0000084,T cell,1715
adipose tissue,CL:0000097,mast cell,4
adipose tissue,CL:0000115,endothelial cell,3748
adipose tissue,CL:0000134,mesenchymal stem cell,1311
adipose tissue,CL:0000186,myofibroblast cell,982
adipose tissue,CL:0000192,smooth muscle cell,16
adipose tissue,CL:0000235,macrophage,2807
adipose tissue,CL:0000236,B cell,23
adipose tissue,CL:0000738,leukocyte,160
adipose tissue,CL:0000775,neutrophil,440
adipose tissue,CL:0000786,plasma cell,26
adipose tissue,CL:0000814,mature NK T cell,572
skin of body,CL:0000066,epithelial cell,106
skin of body,CL:0000084,T cell,519
skin of body,CL:0000097,mast cell,645
skin of body,CL:0000115,endothelial cell,1309
skin of body,CL:0000148,melanocyte,64
skin of body,CL:0000187,muscle cell,437
skin of body,CL:0000188,cell of skeletal muscle,10
skin of body,CL:0000192,smooth muscle cell,13
skin of body,CL:0000235,macrophage,846
skin of body,CL:0000453,Langerhans cell,36
skin of body,CL:0000492,CD4-positive helper T cell,59
skin of body,CL:0000499,stromal cell,2943
skin of body,CL:0000786,plasma cell,24
skin of body,CL:0000787,memory B cell,9
skin of body,CL:0000788,naive B cell,7
skin of body,CL:0000794,"CD8-positive, alpha-beta cytotoxic T cell",129
skin of body,CL:0000814,mature NK T cell,605
skin of body,CL:0000815,regulatory T cell,126
skin of body,CL:0000895,"naive thymus-derived CD4-positive, alpha-beta T cell",71
skin of body,CL:0000897,"CD4-positive, alpha-beta memory T cell",339
skin of body,CL:0000900,"naive thymus-derived CD8-positive, alpha-beta T cell",88
skin of body,CL:0000909,"CD8-positive, alpha-beta memory T cell",857
skin of body,CL:0002394,CD141-positive myeloid dendritic cell,17
skin of body,CL:0002399,CD1c-positive myeloid dendritic cell,165
