tissue_type,cell_type_ontology_id,cell_type,Total
eye,CL:0000034,stem cell,144
eye,CL:0000057,fibroblast,95
eye,CL:0000084,T cell,237
eye,CL:0000097,mast cell,5
eye,CL:0000114,surface ectodermal cell,54
eye,CL:0000115,endothelial cell,105
eye,CL:0000129,microglial cell,209
eye,CL:0000136,fat cell,44
eye,CL:0000148,melanocyte,144
eye,CL:0000235,macrophage,108
eye,CL:0000236,B cell,102
eye,CL:0000287,eye photoreceptor cell,891
eye,CL:0000451,dendritic cell,182
eye,CL:0000499,stromal cell,325
eye,CL:0000575,corneal epithelial cell,1488
eye,CL:0000576,monocyte,44
eye,CL:0000624,"CD4-positive, alpha-beta T cell",23
eye,CL:0000625,"CD8-positive, alpha-beta T cell",8
eye,CL:0000681,radial glial cell,195
eye,CL:0000740,retinal ganglion cell,5
eye,CL:0000745,retina horizontal cell,6
eye,CL:0000748,retinal bipolar neuron,34
eye,CL:0000764,erythroid lineage cell,30
eye,CL:0000786,plasma cell,46
eye,CL:0002303,pigmented ciliary epithelial cell,17
eye,CL:0002363,keratocyte,595
eye,CL:0002585,retinal blood vessel endothelial cell,466
eye,CL:0002586,retinal pigment epithelial cell,49
eye,CL:0011107,Muller cell,360
eye,CL:1000432,conjunctival epithelial cell,4587
eye,CL:1000436,epithelial cell of lacrimal sac,52
fovea centralis,CL:0000103,bipolar neuron,860
fovea centralis,CL:0000115,endothelial cell,117
fovea centralis,CL:0000125,glial cell,765
fovea centralis,CL:0000129,microglial cell,70
fovea centralis,CL:0000604,retinal rod cell,197
fovea centralis,CL:0000669,pericyte cell,44
fovea centralis,CL:0000740,retinal ganglion cell,145
fovea centralis,CL:0000745,retina horizontal cell,15
fovea centralis,unknown,foveal cone photoreceptor,203
fovea centralis,unknown,unknown,395
peripheral region of retina,CL:0000103,bipolar neuron,767
peripheral region of retina,CL:0000115,endothelial cell,57
peripheral region of retina,CL:0000125,glial cell,1128
peripheral region of retina,CL:0000129,microglial cell,35
peripheral region of retina,CL:0000561,amacrine cell,51
peripheral region of retina,CL:0000604,retinal rod cell,817
peripheral region of retina,CL:0000669,pericyte cell,33
peripheral region of retina,CL:0000740,retinal ganglion cell,4
peripheral region of retina,CL:0000745,retina horizontal cell,15
peripheral region of retina,unknown,foveal cone photoreceptor,3
peripheral region of retina,unknown,peripheral cone photoreceptor,7
peripheral region of retina,unknown,unknown,7
