sceneGraph,File Name,System ,,Lymphatic
,Blood Vasc Eye,cardio,,respiratory
,Blood Vasc Gallbladder,cardio,,digestive
,Blood Vasc Heart,cardio,,nervous
,Blood Vasc Kidney,cardio,,endocrine
,Blood Vasc Large Intest,cardio,,cardio
,Blood Vasc Liver,cardio,,repro
,Blood Vasc Spleen,cardio,,urinary
,Blood Vasc Uterus,cardio,,Integumentary
https://ccf-ontology.hubmapconsortium.org/objects/v1.2/VH_F_Blood_Vasculature.glb,Blood Vasculature,cardio,,
https://ccf-ontology.hubmapconsortium.org/objects/v1.2/VH_M_Blood_Vasculature.glb,Blood Vasculature,cardio,,musculoskeletal
https://ccf-ontology.hubmapconsortium.org/objects/v1.2/VH_F_Heart.glb,Heart,cardio,,
https://ccf-ontology.hubmapconsortium.org/objects/v1.2/VH_M_Heart.glb,Heart,cardio,,
,Biliary Tree,digestive,,
,Ducts of Gallbladder,digestive,,immune?
,Ducts of liver,digestive,,
,ducts of pancreas,digestive,,
,Gallbladder,digestive,,
https://ccf-ontology.hubmapconsortium.org/objects/v1.2/VH_F_Liver.glb,Liver,digestive,,
https://ccf-ontology.hubmapconsortium.org/objects/v1.2/VH_M_Liver.glb,Liver,digestive,,
https://ccf-ontology.hubmapconsortium.org/objects/v1.2/VH_F_Pancreas.glb,Pancreas,digestive,,
https://ccf-ontology.hubmapconsortium.org/objects/v1.2/VH_M_Pancreas.glb,Pancreas,digestive,endocrine,
https://ccf-ontology.hubmapconsortium.org/objects/v1.2/SBU_F_Intestine_Large.glb,SBU Intestine Large,digestive,,
https://ccf-ontology.hubmapconsortium.org/objects/v1.2/SBU_M_Intestine_Large.glb,SBU Intestine Large,digestive,,
https://ccf-ontology.hubmapconsortium.org/objects/v1.2/VH_F_Small_Intestine.glb,Sm Intestine,digestive,,
https://ccf-ontology.hubmapconsortium.org/objects/v1.2/VH_M_Small_Intestine.glb,Sm Intestine,digestive,,
https://ccf-ontology.hubmapconsortium.org/objects/v1.2/VH_F_Placenta.glb,Placenta,fetal,endocrine,
https://ccf-ontology.hubmapconsortium.org/objects/v1.2/VH_F_Skin.glb,Skin,integumentary,,
