x,y,z,Cell Type
0.0910895,0.32611,-0.0333493,Cortical Thick Ascending Limb
0.0946126,0.314693,-0.0190142,Cortical Thick Ascending Limb
0.0836416,0.338111,-0.0366955,Cortical Thick Ascending Limb
0.075116,0.296024,-0.0419472,Cortical Thick Ascending Limb
0.0696098,0.346743,-0.0509131,Cortical Thick Ascending Limb
0.0871838,0.327101,-0.0579115,Cortical Thick Ascending Limb
0.0408566,0.327281,-0.0414936,Cortical Thick Ascending Limb
0.0816282,0.287911,-0.0445495,Cortical Thick Ascending Limb
0.0677627,0.311165,-0.0572102,Cortical Thick Ascending Limb
0.0887003,0.2776,-0.0234701,Cortical Thick Ascending Limb
0.092761,0.312286,-0.0170126,Cortical Thick Ascending Limb
0.0770113,0.304939,-0.00447852,Cortical Thick Ascending Limb
0.0793992,0.316359,-0.0571678,Cortical Thick Ascending Limb
0.0726525,0.278669,0.00747739,Cortical Thick Ascending Limb
0.0618505,0.345795,-0.0430997,Cortical Thick Ascending Limb
0.0892492,0.268782,-0.0239451,Cortical Thick Ascending Limb
0.102993,0.304236,-0.0451661,Cortical Thick Ascending Limb
0.0633885,0.269412,-0.00733414,Cortical Thick Ascending Limb
0.103361,0.288033,-0.0117131,Cortical Thick Ascending Limb
0.0412678,0.347207,-0.0278123,Cortical Thick Ascending Limb
0.0580362,0.327458,-0.0136541,Cortical Thick Ascending Limb
0.084407,0.304508,-0.00632678,Cortical Thick Ascending Limb
0.0911637,0.307763,-0.0515041,Cortical Thick Ascending Limb
0.0964894,0.294426,-0.0360425,Cortical Thick Ascending Limb
0.075241,0.317009,-0.0099606,Cortical Thick Ascending Limb
0.0812509,0.296853,-0.00410086,Cortical Thick Ascending Limb
0.0677029,0.314157,-0.0576832,Cortical Thick Ascending Limb
0.0481376,0.315899,-0.0197152,Cortical Thick Ascending Limb
0.0932072,0.274661,-0.0033822,Cortical Thick Ascending Limb
0.0467622,0.332076,-0.0434535,Cortical Thick Ascending Limb
0.094004,0.290739,-0.0409759,Cortical Thick Ascending Limb
0.0889776,0.312626,-0.0138076,Cortical Thick Ascending Limb
0.0426689,0.347459,-0.042362,Cortical Thick Ascending Limb
0.100806,0.291346,-0.018494,Cortical Thick Ascending Limb
0.0831012,0.259761,-0.00595834,Cortical Thick Ascending Limb
0.0718208,0.260178,-0.00528677,Cortical Thick Ascending Limb
